Code,Type
SB-Ⅰ-4,파편(타날문)
SB-Ⅰ-4,파편(타날문)
SB-Ⅰ-4,파편(타날문)
SB-Ⅰ-4,파편(타날문)
SB-Ⅰ-4,파편(타날문)
SB-Ⅰ-4,파편(타날문)
SB-Ⅰ-4,파편(타날문)
SB-Ⅰ-4,파편(타날문)
SB-Ⅰ-4,파편(타날문)
SB-Ⅰ-4,파편(타날문)
SB-Ⅰ-4,파편(타날문)
SB-Ⅰ-4,파편(타날문)
SB-Ⅰ-4,직구단경호(흑색)
SB-Ⅰ-4,고배
SB-Ⅰ-4,고배
SB-Ⅰ-4,고배
SB-Ⅰ-4,고배
SB-Ⅰ-4,병
SB-Ⅰ-4,병
NP_GRS-28,대옹(난)
NP_GRS-28,대옹(파편)
NP_GRS-28,호(타날문)
NP_GRS-28,호(타날문)
NP_GRS-28,호(타날문)
NP_GRS-28,호(타날문)
NP_GRS-28,발(타날문)
NP_GRS-28,옹(타날문)
NP_GRS-28,장란형토기(타날문)
NP_GRS-28,장란형토기(타날문)
NP_GRS-28,장란형토기(타날문)
NP_GRS-28,장란형토기(타날문)
NP_GRS-28,장란형토기(타날문)
NP_GRS-28,장란형토기(타날문)
NP_GRS-28,장란형토기(타날문)
NP_GRS-28,장란형토기(타날문)
NP_GRS-28,파편(타날문)
NP_GRS-28,파편(타날문)
NP_GRS-28,이형(타날문)
NP_GRS-28,이형(타날문)
NP_GRS-28,대각편
NP_GRS-28,방추차
NP_GRS-28,불명(토제품)
YH_3-2-17,대옹(원통)
YH_3-2-17,발(타날문)
YH_3-2-17,파편(타날문)
YH_3-2-17,파편(타날문)
UN_B-KC001,대옹(원통)
UN_B-KC001,대옹(파편)
UN_B-KC001,대옹(파편)
UN_B-KC001,파편(경질무문)
UN_B-KC001,파편(경질무문)
UN_B-KC001,파편(경질무문)
UN_B-KC001,호(타날문)
UN_B-KC001,호(타날문)
UN_B-KC001,호(타날문)
UN_B-KC001,호(타날문)
UN_B-KC001,호(타날문)
UN_B-KC001,발(타날문)
UN_B-KC001,발(타날문)
UN_B-KC001,발(타날문)
UN_B-KC001,발(타날문)
UN_B-KC001,장란형토기(타날문)
UN_B-KC001,장란형토기(타날문)
UN_B-KC001,시루(타날문)
UN_B-KC001,시루(타날문)
UN_B-KC001,동이(타날문)
UN_B-KC001,완(타날문)
UN_B-KC001,파편(타날문)
UN_B-KC001,파편(타날문)
UN_B-KC001,파편(타날문)
UN_B-KC001,이형(타날문)
UN_B-KC001,철부
UN_B-KC001,지석
UN_B-KC001,지석
UN_B-KC001,지석
UN_B-KC001,고석
UN_B-KC001,방추차
UN_B-KC001,어망추
WD_20-5,대옹(난)
WD_20-5,호(타날문)
WD_20-5,발(타날문)
WD_20-5,옹(타날문)
WD_20-5,장란형토기(타날문)
WD_20-5,장란형토기(타날문)
WD_20-5,시루(타날문)
WD_20-5,뚜껑(타날문)
WD_20-5,파편(타날문)
WD_20-5,파편(타날문)
WD_20-5,파편(타날문)
WD_20-5,파편(타날문)
WD_20-5,파편(타날문)
WD_20-5,파편(타날문)
WD_20-5,파편(타날문)
WD_20-5,파편(타날문)
WD_20-5,파편(타날문)
JW_96-7,대옹(원통)
JW_96-7,대옹(원통)
JW_96-7,대옹(난)
JW_96-7,대옹(난)
JW_96-7,대옹(난)
JW_96-7,대옹(난)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,호(타날문)
JW_96-7,옹(타날문)
JW_96-7,옹(타날문)
JW_96-7,옹(타날문)
JW_96-7,옹(타날문)
JW_96-7,시루(타날문)
JW_96-7,동이(타날문)
JW_96-7,동이(타날문)
JW_96-7,완(타날문)
JW_96-7,파편(타날문)
JW_96-7,파편(타날문)
JW_96-7,파편(타날문)
JW_96-7,고배
JW_96-7,고배
JW_96-7,철겸
JW_96-7,꺾쇠
JW_96-7,꺾쇠
JW_96-7,꺾쇠
JW_96-7,꺾쇠
JW_96-7,꺾쇠
JW_96-7,꺾쇠
JJ-2,대옹(원통)
JJ-2,대옹(원통)
JJ-2,대옹(난)
JJ-2,대옹(난)
JJ-2,대옹(난)
JJ-2,옹(경질무문)
JJ-2,옹(경질무문)
JJ-2,파편(경질무문)
JJ-2,파편(경질무문)
JJ-2,파편(경질무문)
JJ-2,파편(경질무문)
JJ-2,파편(경질무문)
JJ-2,파편(타날문)
JJ-2,파편(타날문)
JJ-2,철도자
JJ-2,불명(철기)
J_MS-12,대옹(원통)
J_MS-12,옹(경질무문)
J_MS-12,옹(경질무문)
J_MS-12,옹(경질무문)
J_MS-12,옹(경질무문)
J_MS-12,옹(경질무문)
J_MS-12,옹(경질무문)
J_MS-12,파편(경질무문)
J_MS-12,파편(경질무문)
J_MS-12,호(타날문)
J_MS-12,철도자
J_MS-12,철촉
J_MS-12,미완석기
SS-41,대옹(첨저)
SS-41,호(경질무문)
SS-41,호(경질무문)
SS-41,호(경질무문)
SS-41,호(경질무문)
SS-41,뚜껑(경질무문)
SS-41,파편(경질무문)
SS-41,파편(경질무문)
SS-41,파편(경질무문)
SS-41,파편(경질무문)
SS-41,파편(경질무문)
SS-41,파편(경질무문)
SS-41,파편(경질무문)
BA-18,대옹(첨저)
BA-18,호(경질무문)
BA-18,옹(경질무문)
BA-18,옹(경질무문)
BA-18,옹(경질무문)
BA-18,옹(경질무문)
BA-18,완(경질무문)
BA-18,완(경질무문)
BA-18,파편(경질무문)
BA-18,파편(경질무문)
BA-18,파편(경질무문)
BA-18,파편(경질무문)
BA-18,파편(경질무문)
BA-18,파편(경질무문)
BA-18,파편(경질무문)
BA-18,파편(경질무문)
BA-18,파편(경질무문)
BA-18,파편(경질무문)
BA-18,파편(경질무문)
BA-18,파편(경질무문)
BA-18,호(타날문)
BA-18,호(타날문)
BA-18,방추차
WC-113,대옹(난)
WC-113,파편(경질무문)
WC-113,파편(경질무문)
WC-113,파편(경질무문)
WC-113,호(타날문)
WC-113,시루(타날문)
WC-113,철도
WC-65,대옹(원통)
WC-65,대옹(파편)
WC-65,대옹(파편)
WC-65,옹(경질무문)
WC-65,옹(경질무문)
WC-65,옹(경질무문)
WC-65,호(타날문)
WC-65,호(타날문)
WC-65,발(타날문)
WC-65,장란형토기(타날문)
WC-65,장란형토기(타날문)
WC-65,시루(타날문)
WC-65,뚜껑(타날문)
WC-65,뚜껑(타날문)
WC-65,뚜껑(타날문)
WC-65,파편(타날문)
WC-65,불명(흑색)
WC-65,철도자
WC-65,철도자
WC-65,철도자
WC-65,철겸
WC-65,철겸
WC-65,철겸
WC-65,철부
WC-65,철도
WC-65,철모
WC-65,철모
WC-65,철준
WC-65,괭이
WC-65,미완철기
